State,latitude,longitude,County,Total
California,37.93899289,-118.8872409,"Lassen, California, US",165
California,36.21862405,-121.2413397,"Los Angeles, California, US",9645
California,38.50735751,-122.332839,"Madera, California, US",1652
California,39.30394768,-120.7627281,"Marin, California, US",525
California,33.70147516,-117.7645998,"Mariposa, California, US",52538
California,39.06167234,-120.7240569,"Mendocino, California, US",3523
California,40.00355989,-120.8395236,"Merced, California, US",50
California,33.74314981,-115.9933578,"Modoc, California, US",57695
California,38.45106826,-121.3425374,"Mono, California, US",21800
California,36.60308176,-121.069975,"Monterey, California, US",1314
California,34.84060306,-116.1774685,"Napa, California, US",53121
California,33.03484597,-116.7365326,"Nevada, California, US",45425
California,37.75215114,-122.4385672,"Orange, California, US",10901
California,37.93433732,-121.2730061,"Out of CA, California, US",20060
California,35.38822029,-120.4039028,"Placer, California, US",3453
California,37.4228808,-122.3275546,"Plumas, California, US",9664
California,34.65329488,-120.0188492,"Riverside, California, US",8952
California,37.23104908,-121.6970462,"Sacramento, California, US",20648
California,37.05580291,-122.0066524,"San Benito, California, US",2283
California,40.76391419,-122.0396884,"San Bernardino, California, US",751
California,39.57713498,-120.5200701,"San Diego, California, US",6
California,41.59198861,-122.5407434,"San Francisco, California, US",163
California,38.26827353,-121.9357113,"San Joaquin, California, US",6232
California,38.52746429,-122.8862506,"San Luis Obispo, California, US",7225
California,37.55862499,-120.9970722,"San Mateo, California, US",16425
California,39.03417539,-121.6945899,"Santa Barbara, California, US",1686
California,40.12570935,-122.2370171,"Santa Clara, California, US",529
California,40.6491767,-123.114713,"Santa Cruz, California, US",15
California,36.22026558,-118.8020203,"Shasta, California, US",15782
California,38.02644018,-119.9525093,"Sierra, California, US",226
California,34.44465746,-119.0910613,"Siskiyou, California, US",12507
California,38.68278902,-121.9018288,"Solano, California, US",2773
California,39.26255932,-121.3535644,"Sonoma, California, US",1133
Colorado,39.87432092,-104.3362578,"Stanislaus, California, US",8684
Colorado,37.57250606,-105.7885451,"Sutter, California, US",242
Colorado,39.64977461,-104.3353617,"Tehama, California, US",8999
Colorado,37.19474156,-107.0476867,"Trinity, California, US",55
Colorado,37.31940883,-102.5603223,"Tulare, California, US",17
Colorado,37.95474293,-103.0720195,"Tuolumne, California, US",11
Colorado,40.09313619,-105.3546767,"Unassigned, California, US",3990
Colorado,39.95998787,-105.0566324,"Ventura, California, US",616
Colorado,38.74745778,-106.1926573,"Yolo, California, US",325
Colorado,38.82777431,-102.6032558,"Yuba, California, US",13
Colorado,39.68864463,-105.6463118,"Adams, Colorado, US",37
Colorado,37.201606,-106.1917488,"Alamosa, Colorado, US",31
Colorado,37.27732493,-105.4276548,"Arapahoe, Colorado, US",32
Colorado,38.32608609,-103.7844965,"Archuleta, Colorado, US",73
Colorado,38.10883162,-105.3683478,"Baca, Colorado, US",17
Colorado,38.86246243,-107.8631342,"Bent, Colorado, US",187
Colorado,39.76018276,-104.8725695,"Boulder, Colorado, US",12689
Colorado,37.75208676,-108.5211585,"Broomfield, Colorado, US",3
Colorado,39.33133796,-104.930001,"Chaffee, Colorado, US",2458
Colorado,39.62754308,-106.6933637,"Cheyenne, Colorado, US",1244
Colorado,38.83240149,-104.5251411,"Clear Creek, Colorado, US",6743
Colorado,39.28656773,-104.1358721,"Conejos, Colorado, US",152
Colorado,38.47362326,-105.4399667,"Costilla, Colorado, US",170
Colorado,39.59921777,-107.902708,"Crowley, Colorado, US",936
Colorado,39.85646523,-105.5252597,"Custer, Colorado, US",18
Colorado,40.10603347,-106.1178042,"Delta, Colorado, US",71
Colorado,38.66611652,-107.0320729,"Denver, Colorado, US",296
Colorado,37.82247444,-107.3004345,"Dolores, Colorado, US",3
Colorado,37.68473101,-104.9612585,"Douglas, Colorado, US",19
Colorado,40.6659387,-106.3408905,"Eagle, Colorado, US",9
Colorado,39.58635604,-105.2517692,"El Paso, Colorado, US",5500
Colorado,38.43260896,-102.7392145,"Elbert, Colorado, US",0
Colorado,39.30497777,-102.6022199,"Fremont, Colorado, US",79
Colorado,37.28632032,-107.8429014,"Garfield, Colorado, US",255
Colorado,39.20278823,-106.3555697,"Gilpin, Colorado, US",91
Colorado,40.66671597,-105.4625784,"Grand, Colorado, US",2424
Colorado,37.3153406,-104.0376458,"Gunnison, Colorado, US",21
Colorado,38.98749519,-103.5136649,"Hinsdale, Colorado, US",9
Colorado,40.7249637,-103.110817,"Huerfano, Colorado, US",850
Colorado,39.01787888,-108.469799,"Jackson, Colorado, US",551
Colorado,37.66954283,-106.9281698,"Jefferson, Colorado, US",20
Colorado,40.61810999,-108.2070876,"Kiowa, Colorado, US",40
Colorado,37.33859579,-108.5958857,"Kit Carson, Colorado, US",131
Colorado,38.40214114,-108.2639022,"La Plata, Colorado, US",373
Colorado,40.2627981,-103.8093302,"Lake, Colorado, US",736
Colorado,37.9014485,-103.7173385,"Larimer, Colorado, US",92
Colorado,38.14717457,-107.7675136,"Las Animas, Colorado, US",25
Colorado,39.120926,-105.7182065,"Lincoln, Colorado, US",55
Colorado,40.59414277,-102.3577703,"Logan, Colorado, US",34
Colorado,39.21720112,-106.9310027,"Mesa, Colorado, US",221
Colorado,37.95544985,-102.3926052,"Mineral, Colorado, US",94
Colorado,38.17359144,-104.5127437,"Moffat, Colorado, US",1052
Colorado,39.97913541,-108.2179009,"Montezuma, Colorado, US",25
Colorado,37.5836865,-106.3847838,"Montrose, Colorado, US",96
Colorado,40.48596505,-106.9905548,"Morgan, Colorado, US",148
Colorado,38.08054629,-106.282466,"Otero, Colorado, US",111
Colorado,37.76248981,-107.6763289,"Ouray, Colorado, US",6
Colorado,38.00450883,-108.4020725,"Out of CO, Colorado, US",96
Colorado,40.87595412,-102.3519227,"Park, Colorado, US",14
Colorado,39.63803232,-106.1150762,"Phillips, Colorado, US",428
Colorado,38.88133511,-105.1614893,"Pitkin, Colorado, US",174
Colorado,39.97015535,-103.202587,"Prowers, Colorado, US",60
Colorado,40.55499405,-104.3929621,"Pueblo, Colorado, US",4597
Colorado,40.00346839,-102.4258673,"Rio Blanco, Colorado, US",101
Connecticut,41.26809896,-73.3881171,"Rio Grande, Colorado, US",19949
Connecticut,41.80283011,-72.73103891,"Routt, Colorado, US",14456
Connecticut,41.7937534,-73.2451475,"Saguache, Colorado, US",1849
Connecticut,41.45949668,-72.53714864,"San Juan, Colorado, US",1560
Connecticut,41.4080325,-72.93620426,"San Miguel, Colorado, US",14294
Connecticut,41.48896435,-72.10430976,"Sedgwick, Colorado, US",1803
Connecticut,41.85853803,-72.3308481,"Summit, Colorado, US",1328
Connecticut,41.82972709,-71.98182316,"Teller, Colorado, US",941
Delaware,39.08646628,-75.56884914,"Unassigned, Colorado, US",2898
Delaware,39.57992638,-75.64054974,"Washington, Colorado, US",9777
Delaware,38.66143781,-75.39031349,"Weld, Colorado, US",6673
District of Columbia,38.90417773,-77.01655992,"Yuma, Colorado, US",15050
Florida,29.67866525,-82.35928158,"Fairfield, Connecticut, US",7735
Florida,30.33060121,-82.28467476,"Hartford, Connecticut, US",1426
Florida,30.26548745,-85.62122584,"Litchfield, Connecticut, US",5924
Florida,29.95079741,-82.16611613,"Middlesex, Connecticut, US",1054
Florida,28.29409504,-80.73091022,"New Haven, Connecticut, US",8578
Florida,26.15184651,-80.48725556,"New London, Connecticut, US",76146
Florida,30.40666734,-85.19394153,"Out of CT, Connecticut, US",608
Florida,26.90131002,-81.92949121,"Tolland, Connecticut, US",2978
Florida,28.84804315,-82.47614748,"Unassigned, Connecticut, US",2684
Florida,29.98319144,-81.85609986,"Windham, Connecticut, US",4895
Florida,26.11091986,-81.34687065,"Kent, Delaware, US",12565
Florida,30.22509788,-82.62160164,"New Castle, Delaware, US",3690
Florida,27.18677893,-81.80941373,"Out of DE, Delaware, US",1551
Florida,29.60631086,-83.15724673,"Sussex, Delaware, US",828
Florida,30.33225875,-81.66976468,"Unassigned, Delaware, US",29717
Florida,30.67652764,-87.37284571,"Diamond Princess, US",12103
Florida,29.45933576,-81.31508595,"District of Columbia,District of Columbia,US",1687
Florida,29.83791238,-84.82731662,"Out of DC, District of Columbia, US",604
Florida,30.57796289,-84.61915825,"Unassigned, District of Columbia, US",2739
Florida,29.72856978,-82.79880657,"Alachua, Florida, US",505
Florida,26.95635849,-81.18996211,"Baker, Florida, US",513
Florida,29.93543004,-85.2427099,"Bay, Florida, US",871
Florida,30.49673973,-82.94998918,"Bradford, Florida, US",840
Florida,27.49293939,-81.80956574,"Brevard, Florida, US",1313
Florida,26.55386945,-81.16469006,"Broward, Florida, US",2051
Florida,28.55364461,-82.42700204,"Calhoun, Florida, US",3064
Florida,27.34254618,-81.34071957,"Charlotte, Florida, US",2111
Florida,27.9276559,-82.32013172,"Citrus, Florida, US",41178
Florida,30.86747479,-85.81319222,"Clay, Florida, US",735
Florida,27.69308961,-80.60556721,"Collier, Florida, US",3129
Florida,30.7954597,-85.21500423,"Columbia, Florida, US",2768
Florida,30.43669112,-83.89442308,"DeSoto,Florida,US",550
Florida,29.98484137,-83.18166636,"Dixie, Florida, US",1232
Florida,28.76202069,-81.7125123,"Duval, Florida, US",7365
Florida,26.58410348,-81.88399313,"Escambia, Florida, US",20124
Florida,30.45955727,-84.27491114,"Flagler, Florida, US",10204
Florida,29.31829741,-82.74007147,"Franklin, Florida, US",1012
Florida,30.23766008,-84.8829258,"Gadsden, Florida, US",497
Florida,30.44396917,-83.47398594,"Gilchrist, Florida, US",1009
Florida,27.47196942,-82.31831044,"Glades, Florida, US",11327
Florida,29.21227113,-82.05803627,"Gulf, Florida, US",9541
Florida,27.0772071,-80.43109784,"Hamilton, Florida, US",4807
Florida,25.6112362,-80.55170587,"Hardee, Florida, US",167880
Florida,25.20904673,-81.07812416,"Hendry, Florida, US",1813
Florida,30.61037141,-81.80297522,"Hernando, Florida, US",2053
Florida,30.69143028,-86.59267105,"Highlands, Florida, US",4802
Florida,27.3863362,-80.88944347,"Hillsborough, Florida, US",1501
Florida,28.51367621,-81.31799498,"Holmes, Florida, US",39412
Florida,28.06312234,-81.14882926,"Indian River, Florida, US",12249
Florida,26.64676272,-80.46536002,"Jackson, Florida, US",45743
Florida,28.30810945,-82.40227529,"Jefferson, Florida, US",8988
Florida,27.93130349,-82.72239666,"Lafayette, Florida, US",21701
Florida,27.95027105,-81.69732947,"Lake, Florida, US",19452
Florida,29.60779729,-81.74230285,"Lee, Florida, US",2088
Florida,30.6934145,-87.02458128,"Leon, Florida, US",5236
Florida,27.18546175,-82.33174248,"Levy, Florida, US",7948
Florida,28.7158582,-81.24060348,"Liberty, Florida, US",8911
Florida,29.90096506,-81.43589967,"Madison, Florida, US",5167
Florida,27.37763908,-80.47106649,"Manatee, Florida, US",7875
Florida,28.70181754,-82.0794267,"Marion, Florida, US",2196
Florida,30.19746066,-82.9909967,"Martin, Florida, US",2657
Florida,30.04848048,-83.60445406,"Miami-Dade, Florida, US",1307
Florida,30.04412971,-82.37497443,"Monroe, Florida, US",903
Florida,29.05858895,-81.18263252,"Nassau, Florida, US",10651
Florida,30.16548905,-84.39895211,"Okaloosa, Florida, US",1106
Florida,30.64204028,-86.16935664,"Okeechobee, Florida, US",1915
Florida,30.61359259,-85.66002461,"Orange, Florida, US",1064
Georgia,31.74847232,-82.28909114,"Osceola, Florida, US",1015
Georgia,31.29633502,-82.87545866,"Out of FL, Florida, US",438
Georgia,31.55456473,-82.45936528,"Palm Beach, Florida, US",596
Georgia,31.32669878,-84.44218806,"Pasco, Florida, US",79
Georgia,33.06882326,-83.24701748,"Pinellas, Florida, US",2078
Georgia,34.35607081,-83.49644388,"Polk, Florida, US",473
Georgia,33.99148694,-83.71436292,"Putnam, Florida, US",2124
Georgia,34.23732119,-84.83887523,"Santa Rosa, Florida, US",2835
Georgia,31.76095874,-83.22145359,"Sarasota, Florida, US",751
Georgia,31.27590016,-83.2252992,"Seminole, Florida, US",442
Georgia,32.80904227,-83.70489165,"St. Johns, Florida, US",5995
Georgia,32.43829035,-83.33035166,"St. Lucie, Florida, US",426
Georgia,31.19576557,-81.97743999,"Sumter, Florida, US",343
Georgia,30.83922642,-83.58303423,"Suwannee, Florida, US",515
Georgia,32.00979311,-81.44002948,"Taylor, Florida, US",1126
Georgia,32.39577406,-81.74811421,"Unassigned, Florida, US",2836
Georgia,33.05917989,-81.99928721,"Union, Florida, US",781
Georgia,33.2830945,-83.9543504,"Volusia, Florida, US",631
Georgia,31.53169785,-84.62725131,"Wakulla, Florida, US",236
Georgia,30.92951916,-81.66601818,"Walton, Florida, US",1250
Georgia,32.40209349,-82.07702563,"Washington, Florida, US",444
Georgia,33.58138199,-85.07976677,"Appling, Georgia, US",2682
Georgia,34.89872298,-85.13757014,"Atkinson, Georgia, US",1139
Georgia,30.78371028,-82.13951596,"Bacon, Georgia, US",622
Georgia,32.00043026,-81.12489526,"Baker, Georgia, US",8277
Georgia,32.34341231,-84.78809239,"Baldwin, Georgia, US",1628
Georgia,34.47197698,-85.34535662,"Banks, Georgia, US",739
Georgia,34.24393976,-84.47431861,"Barrow, Georgia, US",5868
Georgia,33.95436462,-83.37124007,"Bartow, Georgia, US",4939
Georgia,31.62221166,-84.97713865,"Ben Hill, Georgia, US",120
Georgia,33.54187245,-84.35594188,"Berrien, Georgia, US",7086
Georgia,30.91395822,-82.70432472,"Bibb, Georgia, US",370
Georgia,33.94243204,-84.5761255,"Bleckley, Georgia, US",19283
Georgia,31.54892966,-82.8549206,"Brantley, Georgia, US",2009
